Date : 2025-12-25 19:37:30
Directory : c:\Users\Pichau\Documents\Unique
Total : 105 files,  27188 codes, 513 comments, 1331 blanks, all 29032 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Pichau\Documents\Unique\alembic.ini                                                | Ini              |         95 |          0 |         25 |        120 |
| c:\Users\Pichau\Documents\Unique\backend\alembic.ini                                        | Ini              |         95 |          0 |         25 |        120 |
| c:\Users\Pichau\Documents\Unique\backend\alembic\env.py                                     | Python           |         49 |         32 |         21 |        102 |
| c:\Users\Pichau\Documents\Unique\backend\alembic\versions\9685bd82d0be_big_bang.py          | Python           |         11 |         14 |          8 |         33 |
| c:\Users\Pichau\Documents\Unique\backend\alembic\versions\dd6b0fb4f78e_incluindo_tabelas.py | Python           |        134 |         14 |          8 |        156 |
| c:\Users\Pichau\Documents\Unique\backend\bd\__init__.py                                     | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\backend\bd\connection.py                                   | Python           |         24 |          0 |          8 |         32 |
| c:\Users\Pichau\Documents\Unique\backend\excluir_dados.py                                   | Python           |          7 |          3 |          3 |         13 |
| c:\Users\Pichau\Documents\Unique\backend\main.py                                            | Python           |         25 |          0 |          5 |         30 |
| c:\Users\Pichau\Documents\Unique\backend\models\__init__.py                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\backend\models\caixa.py                                    | Python           |         13 |          0 |          4 |         17 |
| c:\Users\Pichau\Documents\Unique\backend\models\carrinhos.py                                | Python           |         19 |          0 |          2 |         21 |
| c:\Users\Pichau\Documents\Unique\backend\models\clientes.py                                 | Python           |         12 |          0 |          7 |         19 |
| c:\Users\Pichau\Documents\Unique\backend\models\estabelecimento.py                          | Python           |         11 |          0 |          4 |         15 |
| c:\Users\Pichau\Documents\Unique\backend\models\pedidos.py                                  | Python           |         48 |          0 |         18 |         66 |
| c:\Users\Pichau\Documents\Unique\backend\models\produtos.py                                 | Python           |         31 |          2 |         12 |         45 |
| c:\Users\Pichau\Documents\Unique\backend\requirements.txt                                   | pip requirements |         25 |          0 |          0 |         25 |
| c:\Users\Pichau\Documents\Unique\backend\routers\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\backend\routers\caixa.py                                   | Python           |         53 |          0 |         22 |         75 |
| c:\Users\Pichau\Documents\Unique\backend\routers\carrinhos.py                               | Python           |         58 |          0 |         17 |         75 |
| c:\Users\Pichau\Documents\Unique\backend\routers\clientes.py                                | Python           |         13 |          1 |          2 |         16 |
| c:\Users\Pichau\Documents\Unique\backend\routers\estabelecimento.py                         | Python           |         34 |          0 |         14 |         48 |
| c:\Users\Pichau\Documents\Unique\backend\routers\pedidos.py                                 | Python           |        105 |         26 |         37 |        168 |
| c:\Users\Pichau\Documents\Unique\backend\routers\produtos.py                                | Python           |         82 |         10 |         30 |        122 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\__init__.py                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\caixa.py                                   | Python           |          3 |          0 |          2 |          5 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\carrinhos.py                               | Python           |         20 |          0 |          2 |         22 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\clientes.py                                | Python           |         11 |          1 |          1 |         13 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\estabelecimento.py                         | Python           |          7 |          0 |          1 |          8 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\pedidos.py                                 | Python           |         67 |         12 |         24 |        103 |
| c:\Users\Pichau\Documents\Unique\backend\schemas\produtos.py                                | Python           |         17 |          2 |          4 |         23 |
| c:\Users\Pichau\Documents\Unique\backend\vercel.json                                        | JSON             |         15 |          0 |          0 |         15 |
| c:\Users\Pichau\Documents\Unique\dados.py                                                   | Python           |         50 |          6 |         20 |         76 |
| c:\Users\Pichau\Documents\Unique\desktop\app.py                                             | Python           |        401 |         42 |        132 |        575 |
| c:\Users\Pichau\Documents\Unique\desktop\connection\network_conn.py                         | Python           |         17 |          6 |          5 |         28 |
| c:\Users\Pichau\Documents\Unique\desktop\pictures\imagens.qrc                               | Qrc              |         12 |          0 |          1 |         13 |
| c:\Users\Pichau\Documents\Unique\desktop\pictures\imagens_rc.py                             | Python           |     14,584 |         47 |          8 |     14,639 |
| c:\Users\Pichau\Documents\Unique\desktop\scripts\api_externa.py                             | Python           |         27 |          1 |         10 |         38 |
| c:\Users\Pichau\Documents\Unique\desktop\scripts\clientes.py                                | Python           |         53 |          4 |          8 |         65 |
| c:\Users\Pichau\Documents\Unique\desktop\scripts\estabelecimento.py                         | Python           |         38 |          0 |          5 |         43 |
| c:\Users\Pichau\Documents\Unique\desktop\scripts\pedidos.py                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\desktop\scripts\produtos.py                                | Python           |        134 |          6 |         25 |        165 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form.ui                                     | ui               |        373 |          0 |          1 |        374 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_box\Caixa.ui                           | ui               |        419 |          0 |          4 |        423 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_box\Caixa_ui.py                        | Python           |        202 |         10 |         40 |        252 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_clients\clientes.ui                    | ui               |        401 |          0 |          1 |        402 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_clients\clientes_ui.py                 | Python           |        190 |         10 |         60 |        260 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\dados_pedidos.ui              | ui               |         31 |          0 |          1 |         32 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\dados_pedidos_ui.py           | Python           |         28 |         10 |          8 |         46 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\delivery.ui                   | ui               |        217 |          0 |          1 |        218 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_delivery\delivery_ui.py                | Python           |         96 |         10 |         26 |        132 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_estabelecimento.ui                     | ui               |        212 |          0 |          4 |        216 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_estabelecimento_ui.py                  | Python           |        129 |         10 |         38 |        177 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\mesas.ui                        | ui               |        252 |          0 |          1 |        253 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\mesas_ui.py                     | Python           |        100 |         10 |         30 |        140 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedido_mesa.ui                  | ui               |        164 |          0 |          1 |        165 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedido_mesa_ui.py               | Python           |         70 |         10 |         20 |        100 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\pedidos_delivery.ui             | ui               |         37 |          0 |          1 |         38 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_orders\ui_pedidos_delivery.py          | Python           |         33 |         10 |         10 |         53 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_categorias.ui             | ui               |        273 |          0 |          3 |        276 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_categorias_ui.py          | Python           |        117 |         10 |         26 |        153 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_produtos.ui               | ui               |        472 |          0 |          1 |        473 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\add_produtos_ui.py            | Python           |        222 |         10 |         74 |        306 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos.ui                   | ui               |        233 |          0 |          1 |        234 |
| c:\Users\Pichau\Documents\Unique\desktop\window\form_products\produtos_ui.py                | Python           |        100 |         10 |         28 |        138 |
| c:\Users\Pichau\Documents\Unique\desktop\window\unique.ui                                   | ui               |        414 |          0 |          4 |        418 |
| c:\Users\Pichau\Documents\Unique\desktop\window\unique_ui.py                                | Python           |        194 |         10 |         35 |        239 |
| c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\components\server.py              | Python           |        152 |         10 |         31 |        193 |
| c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\form.ui                           | ui               |        373 |          0 |          1 |        374 |
| c:\Users\Pichau\Documents\Unique\desktop\zcod_Utilitarios\ui_form.py                        | Python           |        238 |         10 |        104 |        352 |
| c:\Users\Pichau\Documents\Unique\frontend\README.md                                         | Markdown         |          9 |          0 |          8 |         17 |
| c:\Users\Pichau\Documents\Unique\frontend\eslint.config.js                                  | JavaScript       |         28 |          0 |          2 |         30 |
| c:\Users\Pichau\Documents\Unique\frontend\index.html                                        | HTML             |         17 |          0 |          1 |         18 |
| c:\Users\Pichau\Documents\Unique\frontend\package-lock.json                                 | JSON             |      3,258 |          0 |          1 |      3,259 |
| c:\Users\Pichau\Documents\Unique\frontend\package.json                                      | JSON             |         32 |          0 |          1 |         33 |
| c:\Users\Pichau\Documents\Unique\frontend\public\vite.svg                                   | XML              |          1 |          0 |          0 |          1 |
| c:\Users\Pichau\Documents\Unique\frontend\src\App.jsx                                       | JavaScript JSX   |         14 |          1 |          2 |         17 |
| c:\Users\Pichau\Documents\Unique\frontend\src\api\api.js                                    | JavaScript       |          6 |          1 |          4 |         11 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\Carrinho.jsx                       | JavaScript JSX   |         93 |         68 |         16 |        177 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\Catalago.jsx                       | JavaScript JSX   |         96 |          0 |         12 |        108 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\Categories.jsx                     | JavaScript JSX   |         28 |          2 |          8 |         38 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\Map_produtos.jsx                   | JavaScript JSX   |         47 |          0 |          7 |         54 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\Options.jsx                        | JavaScript JSX   |         21 |          2 |          6 |         29 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\ProdutoData.jsx                    | JavaScript JSX   |         21 |         35 |         14 |         70 |
| c:\Users\Pichau\Documents\Unique\frontend\src\components\User.jsx                           | JavaScript JSX   |          8 |          0 |          3 |         11 |
| c:\Users\Pichau\Documents\Unique\frontend\src\context\script.js                             | JavaScript       |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\frontend\src\hooks\estabelecimento.js                      | JavaScript       |         16 |          0 |          6 |         22 |
| c:\Users\Pichau\Documents\Unique\frontend\src\hooks\pedidos.js                              | JavaScript       |         27 |          0 |          9 |         36 |
| c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useCarrinho.js                          | JavaScript       |         66 |          8 |         15 |         89 |
| c:\Users\Pichau\Documents\Unique\frontend\src\hooks\useProdutos.js                          | JavaScript       |         28 |          0 |          4 |         32 |
| c:\Users\Pichau\Documents\Unique\frontend\src\main.jsx                                      | JavaScript JSX   |         21 |          0 |          4 |         25 |
| c:\Users\Pichau\Documents\Unique\frontend\src\pages\Finalizacao.jsx                         | JavaScript JSX   |        246 |          7 |         34 |        287 |
| c:\Users\Pichau\Documents\Unique\frontend\src\pages\HomePage.jsx                            | JavaScript JSX   |         38 |         14 |          4 |         56 |
| c:\Users\Pichau\Documents\Unique\frontend\src\styles\Carrinho.css                           | PostCSS          |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\frontend\src\styles\HomePage.css                           | PostCSS          |        352 |          2 |         54 |        408 |
| c:\Users\Pichau\Documents\Unique\frontend\src\styles\Pedidos.css                            | PostCSS          |          0 |          0 |          1 |          1 |
| c:\Users\Pichau\Documents\Unique\frontend\src\styles\ProdutoData.css                        | PostCSS          |        199 |          3 |         30 |        232 |
| c:\Users\Pichau\Documents\Unique\frontend\vite.config.js                                    | JavaScript       |          5 |          1 |          2 |          8 |
| c:\Users\Pichau\Documents\Unique\requirements.txt                                           | pip requirements |        325 |          0 |          0 |        325 |
| Total                                                                                       |                  |     27,188 |        513 |      1,331 |     29,032 |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
